;model_paths;pruning_type;model_type;gpd_base;seed;finetuned;dataset;metric;metric_used
0;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_112.pth;random;PD2;20;112;True;CIFAR10;94.11;accuracy
1;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_167.pth;random;PD2;20;167;True;CIFAR10;94.35;accuracy
2;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_23.pth;random;PD2;20;23;True;CIFAR10;94.22;accuracy
3;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_42.pth;random;PD2;20;42;True;CIFAR10;94.19;accuracy
4;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_FT_SEED_97.pth;random;PD2;20;97;True;CIFAR10;94.28;accuracy
5;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_112.pth;random;PD2;20;112;False;CIFAR10;9.59;accuracy
6;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_167.pth;random;PD2;20;167;False;CIFAR10;10;accuracy
7;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_23.pth;random;PD2;20;23;False;CIFAR10;10;accuracy
8;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_42.pth;random;PD2;20;42;False;CIFAR10;7.32;accuracy
9;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-20_PRUNED_SEED_97.pth;random;PD2;20;97;False;CIFAR10;9.99;accuracy
10;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_112.pth;random;PD2;30;112;True;CIFAR10;93.44;accuracy
11;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_167.pth;random;PD2;30;167;True;CIFAR10;93.6;accuracy
12;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_23.pth;random;PD2;30;23;True;CIFAR10;93.71;accuracy
13;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_42.pth;random;PD2;30;42;True;CIFAR10;93.42;accuracy
14;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_FT_SEED_97.pth;random;PD2;30;97;True;CIFAR10;93.86;accuracy
15;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_SEED_112.pth;random;PD2;30;112;False;CIFAR10;10;accuracy
16;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_SEED_167.pth;random;PD2;30;167;False;CIFAR10;10;accuracy
17;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_SEED_23.pth;random;PD2;30;23;False;CIFAR10;10;accuracy
18;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_SEED_42.pth;random;PD2;30;42;False;CIFAR10;10;accuracy
19;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-30_PRUNED_SEED_97.pth;random;PD2;30;97;False;CIFAR10;10;accuracy
20;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_FT_SEED_112.pth;random;PD2;50;112;True;CIFAR10;90.03;accuracy
21;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_FT_SEED_167.pth;random;PD2;50;167;True;CIFAR10;90.24;accuracy
22;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_FT_SEED_23.pth;random;PD2;50;23;True;CIFAR10;90.34;accuracy
23;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_FT_SEED_42.pth;random;PD2;50;42;True;CIFAR10;90.38;accuracy
24;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_FT_SEED_97.pth;random;PD2;50;97;True;CIFAR10;90.31;accuracy
25;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_SEED_112.pth;random;PD2;50;112;False;CIFAR10;10;accuracy
26;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_SEED_167.pth;random;PD2;50;167;False;CIFAR10;10;accuracy
27;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_SEED_23.pth;random;PD2;50;23;False;CIFAR10;10;accuracy
28;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_SEED_42.pth;random;PD2;50;42;False;CIFAR10;10;accuracy
29;models/CIFAR10\VGG16_CIFAR10_random_PD2_GPD-50_PRUNED_SEED_97.pth;random;PD2;50;97;False;CIFAR10;10;accuracy
30;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_FT_SEED_112.pth;random;PD3;20;112;True;CIFAR10;94.62;accuracy
31;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_FT_SEED_167.pth;random;PD3;20;167;True;CIFAR10;94.51;accuracy
32;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_FT_SEED_23.pth;random;PD3;20;23;True;CIFAR10;94.46;accuracy
33;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_FT_SEED_42.pth;random;PD3;20;42;True;CIFAR10;94.84;accuracy
34;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_FT_SEED_97.pth;random;PD3;20;97;True;CIFAR10;94.84;accuracy
35;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_SEED_112.pth;random;PD3;20;112;False;CIFAR10;11.19;accuracy
36;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_SEED_167.pth;random;PD3;20;167;False;CIFAR10;10;accuracy
37;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_SEED_23.pth;random;PD3;20;23;False;CIFAR10;10;accuracy
38;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_SEED_42.pth;random;PD3;20;42;False;CIFAR10;10;accuracy
39;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-20_PRUNED_SEED_97.pth;random;PD3;20;97;False;CIFAR10;10;accuracy
40;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_FT_SEED_112.pth;random;PD3;30;112;True;CIFAR10;94.12;accuracy
41;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_FT_SEED_167.pth;random;PD3;30;167;True;CIFAR10;94.27;accuracy
42;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_FT_SEED_23.pth;random;PD3;30;23;True;CIFAR10;94.46;accuracy
43;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_FT_SEED_42.pth;random;PD3;30;42;True;CIFAR10;93.95;accuracy
44;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_FT_SEED_97.pth;random;PD3;30;97;True;CIFAR10;94.23;accuracy
45;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_SEED_112.pth;random;PD3;30;112;False;CIFAR10;10;accuracy
46;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_SEED_167.pth;random;PD3;30;167;False;CIFAR10;10;accuracy
47;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_SEED_23.pth;random;PD3;30;23;False;CIFAR10;10;accuracy
48;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_SEED_42.pth;random;PD3;30;42;False;CIFAR10;10;accuracy
49;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-30_PRUNED_SEED_97.pth;random;PD3;30;97;False;CIFAR10;10;accuracy
50;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_FT_SEED_112.pth;random;PD3;50;112;True;CIFAR10;93.14;accuracy
51;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_FT_SEED_167.pth;random;PD3;50;167;True;CIFAR10;93.07;accuracy
52;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_FT_SEED_23.pth;random;PD3;50;23;True;CIFAR10;92.68;accuracy
53;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_FT_SEED_42.pth;random;PD3;50;42;True;CIFAR10;92.99;accuracy
54;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_FT_SEED_97.pth;random;PD3;50;97;True;CIFAR10;92.94;accuracy
55;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_SEED_112.pth;random;PD3;50;112;False;CIFAR10;10;accuracy
56;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_SEED_167.pth;random;PD3;50;167;False;CIFAR10;10;accuracy
57;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_SEED_23.pth;random;PD3;50;23;False;CIFAR10;10;accuracy
58;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_SEED_42.pth;random;PD3;50;42;False;CIFAR10;10;accuracy
59;models/CIFAR10\VGG16_CIFAR10_random_PD3_GPD-50_PRUNED_SEED_97.pth;random;PD3;50;97;False;CIFAR10;10;accuracy
60;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_FT_SEED_112.pth;random;PD1;20;112;True;CIFAR10;94.33;accuracy
61;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_FT_SEED_167.pth;random;PD1;20;167;True;CIFAR10;94.33;accuracy
62;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_FT_SEED_23.pth;random;PD1;20;23;True;CIFAR10;94.48;accuracy
63;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_FT_SEED_42.pth;random;PD1;20;42;True;CIFAR10;94.45;accuracy
64;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_FT_SEED_97.pth;random;PD1;20;97;True;CIFAR10;94.45;accuracy
65;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_SEED_112.pth;random;PD1;20;112;False;CIFAR10;10;accuracy
66;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_SEED_167.pth;random;PD1;20;167;False;CIFAR10;10;accuracy
67;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_SEED_23.pth;random;PD1;20;23;False;CIFAR10;10;accuracy
68;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_SEED_42.pth;random;PD1;20;42;False;CIFAR10;10.18;accuracy
69;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-20_PRUNED_SEED_97.pth;random;PD1;20;97;False;CIFAR10;10;accuracy
70;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_FT_SEED_112.pth;random;PD1;30;112;True;CIFAR10;93.99;accuracy
71;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_FT_SEED_167.pth;random;PD1;30;167;True;CIFAR10;94.1;accuracy
72;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_FT_SEED_23.pth;random;PD1;30;23;True;CIFAR10;93.99;accuracy
73;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_FT_SEED_42.pth;random;PD1;30;42;True;CIFAR10;93.94;accuracy
74;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_FT_SEED_97.pth;random;PD1;30;97;True;CIFAR10;94.47;accuracy
75;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_SEED_112.pth;random;PD1;30;112;False;CIFAR10;10;accuracy
76;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_SEED_167.pth;random;PD1;30;167;False;CIFAR10;10;accuracy
77;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_SEED_23.pth;random;PD1;30;23;False;CIFAR10;10;accuracy
78;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_SEED_42.pth;random;PD1;30;42;False;CIFAR10;10;accuracy
79;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-30_PRUNED_SEED_97.pth;random;PD1;30;97;False;CIFAR10;10;accuracy
80;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_112.pth;random;PD1;50;112;True;CIFAR10;92.61;accuracy
81;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_167.pth;random;PD1;50;167;True;CIFAR10;92.69;accuracy
82;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_23.pth;random;PD1;50;23;True;CIFAR10;92.27;accuracy
83;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_42.pth;random;PD1;50;42;True;CIFAR10;92.86;accuracy
84;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_FT_SEED_97.pth;random;PD1;50;97;True;CIFAR10;92.33;accuracy
85;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_112.pth;random;PD1;50;112;False;CIFAR10;10;accuracy
86;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_167.pth;random;PD1;50;167;False;CIFAR10;10;accuracy
87;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_23.pth;random;PD1;50;23;False;CIFAR10;10;accuracy
88;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_42.pth;random;PD1;50;42;False;CIFAR10;10;accuracy
89;models/CIFAR10\VGG16_CIFAR10_random_PD1_GPD-50_PRUNED_SEED_97.pth;random;PD1;50;97;False;CIFAR10;10;accuracy
90;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_112.pth;random;PD5;20;112;True;CIFAR10;94.01;accuracy
91;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_167.pth;random;PD5;20;167;True;CIFAR10;94.26;accuracy
92;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_23.pth;random;PD5;20;23;True;CIFAR10;94.29;accuracy
93;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_42.pth;random;PD5;20;42;True;CIFAR10;94.34;accuracy
94;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_FT_SEED_97.pth;random;PD5;20;97;True;CIFAR10;94.42;accuracy
95;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_112.pth;random;PD5;20;112;False;CIFAR10;9.96;accuracy
96;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_167.pth;random;PD5;20;167;False;CIFAR10;9.96;accuracy
97;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_23.pth;random;PD5;20;23;False;CIFAR10;10;accuracy
98;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_42.pth;random;PD5;20;42;False;CIFAR10;10;accuracy
99;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-20_PRUNED_SEED_97.pth;random;PD5;20;97;False;CIFAR10;10;accuracy
100;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_112.pth;random;PD5;30;112;True;CIFAR10;93.92;accuracy
101;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_167.pth;random;PD5;30;167;True;CIFAR10;93.87;accuracy
102;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_23.pth;random;PD5;30;23;True;CIFAR10;94.1;accuracy
103;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_42.pth;random;PD5;30;42;True;CIFAR10;93.9;accuracy
104;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_97.pth;random;PD5;30;97;True;CIFAR10;93.93;accuracy
105;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_SEED_112.pth;random;PD5;30;112;False;CIFAR10;10;accuracy
